complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,nCores
25114,65,15,4157,7859,303,427,6070,6491,240
22809,65,15,3993,6261,319,449,3757,4291,240
23511,65,15,4063,5876,349,501,3755,4120,240
22092,65,15,3938,5685,286,332,2975,3786,240
22743,65,15,4226,6740,319,376,3702,4213,240
26567,65,15,4095,8542,296,394,6978,7328,240
25797,65,15,4239,8681,318,389,6831,7263,240
25440,65,15,4123,8689,314,370,7043,7406,240
25045,65,15,4208,8528,323,425,6428,6861,240
21440,65,15,3927,5483,299,388,2862,3449,240
23488,65,15,3990,7240,327,424,4724,5159,240
22176,65,15,3973,5252,324,402,2833,3537,240
26394,65,15,4270,8810,316,411,7424,7856,240
23566,65,15,4060,6087,364,474,3786,4098,240
25659,65,15,4190,8031,327,404,6403,6664,240
24602,65,15,3950,8198,327,592,5768,6125,240
22956,65,15,4031,6377,344,428,3378,3690,240
25012,65,15,4207,8240,310,429,6647,7217,240
24842,65,15,4123,8123,315,401,6485,6682,240
22679,65,15,3996,6320,350,585,3863,4406,240
26290,65,15,4161,8212,321,390,6613,6876,240
26401,65,15,4283,8675,317,460,6989,7500,240
23140,65,15,3921,5872,322,407,2883,3358,240
25538,65,15,4257,7823,298,414,6591,7208,240
23820,65,15,4039,6623,330,398,4389,4720,240
26024,65,15,4215,8733,337,456,7093,7740,240
23079,65,15,4020,5711,313,392,3580,4299,240
21819,65,15,3936,5611,324,413,3264,3599,240
25970,65,15,4250,8497,342,442,7211,7553,240
22899,65,15,4046,6256,350,472,4014,4729,240
21764,65,15,3990,5893,351,439,3271,3626,240
24903,65,15,4096,8195,325,387,6674,7296,240
23238,65,15,4077,6887,344,453,3793,3984,240
26278,65,15,4120,8068,322,393,6867,7256,240
22273,65,15,4075,6004,327,441,3477,4010,240
24908,65,15,4085,7599,325,454,6063,6549,240
22685,65,15,3990,5647,331,449,3555,4246,240
22705,65,15,3945,6005,344,456,3387,3782,240
22548,65,15,4051,5718,323,418,3294,3638,240
22840,65,15,4099,5768,338,464,3153,3380,240
23589,65,15,4030,6218,342,465,3678,4064,240
21977,65,15,3932,5647,324,397,3037,3313,240
24475,65,15,4058,7838,346,428,5496,5741,240
22841,65,15,4015,5619,322,396,3127,3666,240
26077,65,15,4186,7907,281,344,6227,6791,240
22434,65,15,4229,6112,346,413,3297,3541,240
25865,65,15,4150,8477,310,424,6934,7346,240
22169,65,15,4023,6063,307,370,3097,3526,240
25631,65,15,4161,8433,333,458,6617,6843,240
22127,65,15,4020,5772,317,363,3581,4224,240
24961,65,15,4322,7899,331,397,6155,6344,240
24110,65,15,4075,7564,307,371,5262,5529,240
23204,65,15,4002,5678,315,395,3472,3887,240
22876,65,15,3963,6017,327,482,3598,4226,240
25484,65,15,4141,8852,346,421,7572,7825,240
26153,65,15,4178,9128,330,440,7467,7828,240
25237,65,15,4214,8251,334,457,6646,7027,240
21874,65,15,4095,5618,332,497,3307,3756,240
22381,65,15,3980,6393,294,330,3443,4078,240
23100,65,15,4258,6862,307,418,4344,4614,240
23380,65,15,3985,5925,325,436,3438,3597,240
22801,65,15,4007,6543,333,436,4277,4742,240
22884,65,15,4051,6294,336,404,3766,4116,240
26613,65,15,4112,8065,316,420,6576,7163,240
24651,65,15,4225,7668,318,436,6077,6380,240
25415,65,15,4272,8723,335,440,6951,7153,240
23984,65,15,4043,6258,332,458,4442,4723,240
22637,65,15,4099,6021,313,417,3269,3441,240
24745,65,15,4133,7484,317,424,5859,6307,240
24605,65,15,4263,7860,311,407,6112,6485,240
25559,65,15,4141,8805,301,388,6588,7062,240
26102,65,15,4125,9022,356,446,7545,7942,240
24694,65,15,4057,6959,341,443,5425,5973,240
25192,65,15,4269,8547,327,428,7112,7625,240
25207,65,15,4147,8765,326,421,7111,7431,240
22335,65,15,4033,5872,322,418,3133,3970,240
23693,65,15,4265,7086,300,416,4050,4193,240
24544,65,15,4136,7882,310,420,5770,6248,240
22448,65,15,4272,6516,370,501,3812,4123,240
22613,65,15,4054,6420,324,433,4186,4579,240
22997,65,15,4009,5854,333,384,3678,4160,240
23038,65,15,4146,6268,350,416,3053,3867,240
21597,65,15,4046,5427,294,340,3233,3726,240
27149,65,15,4263,8748,366,571,7143,7783,240
21809,65,15,3850,5771,350,476,3346,3821,240
26760,65,15,4208,8337,351,449,6743,7294,240
24408,65,15,4174,7812,301,486,6121,6357,240
23232,65,15,4078,6504,342,448,3620,3916,240
22027,65,15,4181,6024,329,436,3188,3450,240
22126,65,15,4043,6496,340,442,3988,4360,240
22134,65,15,4093,5916,356,430,3143,3734,240
22631,65,15,4044,6686,328,414,3626,3937,240
24713,65,15,4321,8132,329,441,5705,6181,240
22606,65,15,4232,6636,319,391,3860,4196,240
23243,65,15,3963,6063,369,441,3505,3920,240
23349,65,15,4143,7424,307,457,4755,5160,240
23870,65,15,4022,6652,328,450,3634,4043,240
22101,65,15,4072,5919,328,412,3546,3873,240
23429,65,15,4292,6813,351,487,3826,4122,240
22922,65,15,4009,5925,331,432,3687,4178,240
